datetime,Chicago
2/3/2016,275.34
2/3/2016,274.41
2/3/2016,274.41
2/3/2016,273.77
2/4/2016,273.77
2/4/2016,272.58
2/4/2016,272.59
2/4/2016,271.84
2/4/2016,271.40
2/4/2016,271.16
2/4/2016,270.74
2/4/2016,270.29
2/4/2016,270.03
2/4/2016,269.17
2/4/2016,268.90
2/4/2016,268.61
2/4/2016,267.60
2/4/2016,267.30
2/4/2016,267.56
2/4/2016,267.57
2/4/2016,269.03
2/4/2016,269.03
2/4/2016,269.92
2/4/2016,270.69
2/4/2016,271.72
2/4/2016,272.69
2/4/2016,272.68
2/4/2016,272.17
2/5/2016,271.67
2/5/2016,271.44
2/5/2016,271.21
2/5/2016,271.03
2/5/2016,271.03
2/5/2016,270.72
2/5/2016,270.94
2/5/2016,270.35
2/5/2016,270.24
2/5/2016,270.56
2/5/2016,270.93
2/5/2016,270.85
2/5/2016,270.57
2/5/2016,271.07
2/5/2016,271.25
2/5/2016,271.75
2/5/2016,271.92
2/5/2016,272.43
2/5/2016,272.64
2/5/2016,273.20
2/5/2016,273.20
2/5/2016,273.20
2/5/2016,272.72
2/5/2016,272.43
2/6/2016,272.46
2/6/2016,271.85
2/6/2016,271.67
2/6/2016,271.08
2/6/2016,270.32
2/6/2016,269.78
2/6/2016,269.58
2/6/2016,269.46
2/6/2016,269.69
2/6/2016,270.01
2/6/2016,270.04
2/6/2016,270.12
2/6/2016,269.54
2/6/2016,269.22
2/6/2016,271.00
2/6/2016,272.30
2/6/2016,273.92
2/6/2016,275.12
2/6/2016,275.72
2/6/2016,277.01
2/6/2016,277.77
2/6/2016,278.30
2/6/2016,278.29
2/6/2016,276.61
2/7/2016,275.31
2/7/2016,273.78
2/7/2016,273.23
2/7/2016,273.27
2/7/2016,273.25
2/7/2016,272.88
2/7/2016,273.75
2/7/2016,274.60
2/7/2016,274.88
2/7/2016,275.50
2/7/2016,275.67
2/7/2016,276.05
2/7/2016,276.49
2/7/2016,276.43
2/7/2016,276.65
2/7/2016,277.38
2/7/2016,278.45
2/7/2016,279.45
2/7/2016,279.58
2/7/2016,279.97
2/7/2016,279.95
2/7/2016,280.03
2/7/2016,279.57
2/7/2016,278.96
2/8/2016,277.46
2/8/2016,276.43
2/8/2016,276.00
2/8/2016,275.41
2/8/2016,274.67
2/8/2016,273.86
2/8/2016,273.33
2/8/2016,272.81
2/8/2016,272.37
2/8/2016,272.11
2/8/2016,272.06
2/8/2016,272.78
2/8/2016,273.31
2/8/2016,272.28
2/8/2016,272.10
2/8/2016,271.59
2/8/2016,271.62
2/8/2016,271.67
2/8/2016,271.54
2/8/2016,271.38
2/8/2016,270.85
2/8/2016,270.90
2/8/2016,270.60
2/8/2016,270.60
2/9/2016,270.33
2/9/2016,269.91
2/9/2016,269.71
2/9/2016,268.84
2/9/2016,268.32
2/9/2016,268.23
2/9/2016,267.77
2/9/2016,267.04
2/9/2016,266.41
2/9/2016,266.09
2/9/2016,266.26
2/9/2016,265.54
2/9/2016,265.39
2/9/2016,264.83
2/9/2016,264.87
2/9/2016,265.13
2/9/2016,264.75
2/9/2016,265.59
2/9/2016,265.86
2/9/2016,265.88
2/9/2016,265.63
2/9/2016,265.38
2/9/2016,265.03
2/9/2016,265.19
2/10/2016,264.58
2/10/2016,264.46
2/10/2016,264.02
2/10/2016,264.02
2/10/2016,263.91
2/10/2016,263.92
2/10/2016,263.48
2/10/2016,263.05
2/10/2016,263.09
2/10/2016,262.60
2/10/2016,261.60
2/10/2016,261.47
2/10/2016,261.22
2/10/2016,260.65
2/10/2016,261.18
2/10/2016,261.51
2/10/2016,263.25
2/10/2016,263.74
2/10/2016,264.13
2/10/2016,264.33
2/10/2016,265.17
2/10/2016,265.22
2/10/2016,265.27
2/10/2016,264.37
2/11/2016,264.36
2/11/2016,263.49
2/11/2016,263.10
2/11/2016,262.15
2/11/2016,261.75
2/11/2016,261.68
2/11/2016,261.87
2/11/2016,261.42
2/11/2016,261.11
2/11/2016,260.89
2/11/2016,260.71
2/11/2016,260.94
2/11/2016,260.59
2/11/2016,260.34
2/11/2016,260.05
2/11/2016,262.57
2/11/2016,263.71
2/11/2016,263.92
2/11/2016,265.18
2/11/2016,266.70
2/11/2016,267.10
2/11/2016,267.15
2/11/2016,267.37
2/11/2016,266.16
2/12/2016,266.58
2/12/2016,265.96
2/12/2016,265.34
2/12/2016,264.44
2/12/2016,264.90
2/12/2016,265.47
2/12/2016,265.52
2/12/2016,265.53
2/12/2016,264.44
2/12/2016,266.14
2/12/2016,266.14
2/12/2016,266.14
2/12/2016,266.21
2/12/2016,266.22
2/12/2016,265.50
2/12/2016,266.73
2/12/2016,266.78
2/12/2016,266.98
2/12/2016,267.39
2/12/2016,268.09
2/12/2016,267.92
2/12/2016,267.64
2/12/2016,267.38
2/12/2016,266.09
2/13/2016,266.08
2/13/2016,264.09
2/13/2016,263.33
2/13/2016,261.95
2/13/2016,261.37
2/13/2016,260.43
2/13/2016,259.95
2/13/2016,259.28
2/13/2016,258.46
2/13/2016,258.46
2/13/2016,257.93
2/13/2016,257.51
2/13/2016,257.44
2/13/2016,257.18
2/13/2016,258.63
2/13/2016,259.66
2/13/2016,260.07
2/13/2016,260.98
2/13/2016,262.97
2/13/2016,264.19
2/13/2016,264.12
2/13/2016,264.66
2/13/2016,264.62
2/13/2016,263.91
2/14/2016,262.41
2/14/2016,261.80
2/14/2016,261.79
2/14/2016,261.69
2/14/2016,261.27
2/14/2016,261.64
2/14/2016,261.59
2/14/2016,261.50
2/14/2016,261.18
2/14/2016,261.59
2/14/2016,262.30
2/14/2016,262.76
2/14/2016,263.01
2/14/2016,263.14
2/14/2016,264.40
2/14/2016,264.55
2/14/2016,264.95
2/14/2016,265.05
2/14/2016,265.05
2/14/2016,264.91
2/14/2016,264.91
2/14/2016,265.58
2/14/2016,265.58
2/14/2016,265.37
2/15/2016,265.37
2/15/2016,265.30
2/15/2016,265.30
2/15/2016,265.64
2/15/2016,265.64
2/15/2016,265.66
2/15/2016,265.65
2/15/2016,265.65
2/15/2016,265.67
2/15/2016,265.68
2/15/2016,266.08
2/15/2016,266.61
2/15/2016,266.73
2/15/2016,267.06
2/15/2016,267.74
2/15/2016,268.28
2/15/2016,268.94
2/15/2016,269.68
2/15/2016,269.92
2/15/2016,270.85
2/15/2016,271.05
2/15/2016,271.06
2/15/2016,271.18
2/15/2016,271.32
2/16/2016,271.32
2/16/2016,270.85
2/16/2016,270.83
2/16/2016,270.38
2/16/2016,270.38
2/16/2016,270.26
2/16/2016,270.05
2/16/2016,269.73
2/16/2016,269.39
2/16/2016,269.60
2/16/2016,269.71
2/16/2016,269.83
